TrialType,Top,Left,Right,EmptyFrame,SelectedFrame,Correct,Emotion,Gender,TrialLength,FixationLength,n,GCFaceStartTime_mean,GCFaceStartTime_raw,GCFaceStartTime_std,GCPostFaceFixationEndTime_mean,GCPostFaceFixationEndTime_raw,GCPostFaceFixationEndTime_std,GCPostFaceFixationStartTime_mean,GCPostFaceFixationStartTime_raw,GCPostFaceFixationStartTime_std,key_resp_trial.corr_mean,key_resp_trial.corr_raw,key_resp_trial.corr_std,key_resp_trial.keys_raw,key_resp_trial.rt_mean,key_resp_trial.rt_raw,key_resp_trial.rt_std,order
MatchFaces,stimuli/MatchFaces.bmp,stimuli/EmptyFace.bmp,stimuli/EmptyFace.bmp,stimuli/EmptyFrame.bmp,stimuli/EmptyFrame.bmp,Null,None,None,3,1,1.0,15.321802139282227,15.321802139282227,0.0,19.04448699951172,19.04448699951172,0.0,18.060575485229492,18.060575485229492,0.0,0.0,0.0,0.0,,,,,0.0
Anger,stimuli/01F_AN_O.bmp,stimuli/19F_AN_O.BMP,stimuli/01F_AN_O.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Female,3,1,1.0,19.278976440429688,19.278976440429688,0.0,23.061918258666992,23.061918258666992,0.0,22.07635498046875,22.07635498046875,0.0,1.0,1.0,0.0,'2',0.9051283001899719,0.9051283001899719,0.0,1.0
Anger,stimuli/02f_an_o.bmp,stimuli/18F_AN_O.BMP,stimuli/02f_an_o.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Female,3,1,1.0,23.0839900970459,23.0839900970459,0.0,27.07038688659668,27.07038688659668,0.0,26.0936336517334,26.0936336517334,0.0,1.0,1.0,0.0,'2',1.159375548362732,1.159375548362732,0.0,2.0
Anger,stimuli/20M_AN_O.BMP,stimuli/34M_AN_O.BMP,stimuli/20M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Male,3,1,1.0,27.098148345947266,27.098148345947266,0.0,31.107860565185547,31.107860565185547,0.0,30.10350799560547,30.10350799560547,0.0,1.0,1.0,0.0,'2',1.146994709968567,1.146994709968567,0.0,3.0
Anger,stimuli/03F_AN_O.bmp,stimuli/03F_AN_O.bmp,stimuli/17F_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Female,3,1,1.0,31.168258666992188,31.168258666992188,0.0,35.12289810180664,35.12289810180664,0.0,34.13262939453125,34.13262939453125,0.0,1.0,1.0,0.0,'1',1.4518556594848633,1.4518556594848633,0.0,4.0
Anger,stimuli/21M_AN_O.BMP,stimuli/21M_AN_O.BMP,stimuli/33M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Male,3,1,1.0,35.15308380126953,35.15308380126953,0.0,39.13482666015625,39.13482666015625,0.0,38.150733947753906,38.150733947753906,0.0,1.0,1.0,0.0,'1',1.1663087606430054,1.1663087606430054,0.0,5.0
Anger,stimuli/22M_AN_O.BMP,stimuli/32M_AN_O.BMP,stimuli/22M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Male,3,1,1.0,39.16382598876953,39.16382598876953,0.0,43.15439987182617,43.15439987182617,0.0,42.16124725341797,42.16124725341797,0.0,1.0,1.0,0.0,'2',1.2736327648162842,1.2736327648162842,0.0,6.0
Anger,stimuli/23M_AN_O.BMP,stimuli/23M_AN_O.BMP,stimuli/31M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Male,3,1,1.0,43.18333053588867,43.18333053588867,0.0,47.17901611328125,47.17901611328125,0.0,46.18977737426758,46.18977737426758,0.0,1.0,1.0,0.0,'1',1.3181970119476318,1.3181970119476318,0.0,7.0
Anger,stimuli/05F_AN_O.bmp,stimuli/05F_AN_O.bmp,stimuli/16F_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Female,3,1,1.0,47.2548942565918,47.2548942565918,0.0,51.19881057739258,51.19881057739258,0.0,50.21351623535156,50.21351623535156,0.0,1.0,1.0,0.0,'1',1.1196613311767578,1.1196613311767578,0.0,8.0
Anger,stimuli/06F_AN_O.bmp,stimuli/15F_AN_O.BMP,stimuli/06F_AN_O.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Female,3,1,1.0,51.28738784790039,51.28738784790039,0.0,55.22314453125,55.22314453125,0.0,54.23365020751953,54.23365020751953,0.0,1.0,1.0,0.0,'2',1.1360403299331665,1.1360403299331665,0.0,9.0
