2007.1980 	INFO 	Loaded monitor calibration from ['2025_04_29 14:23']
2007.2250 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
2009.2034 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

2009.2056 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([1., 1., 1.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0869F530>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x139551F0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
2009.2057 	EXP 	window1: recordFrameIntervals = False
2009.3056 	EXP 	window1: recordFrameIntervals = True
2010.2732 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

2010.6951 	EXP 	Created PleaseWaitText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, languageStyle='LTR', name='PleaseWaitText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='Please wait...\n\nTask will begin shortly.', units='norm', win=Window(...), wrapWidth=1)
2010.7354 	EXP 	Created BeginningFixationCross = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='BeginningFixationCross', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.85, 1.  ]), texRes=128, units='norm', win=Window(...))
2010.7391 	EXP 	Created TopImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='TopImage', opacity=1.0, ori=0.0, pos=array([0. , 0.5]), size=array([0.35, 0.75]), texRes=128, units='norm', win=Window(...))
2010.7410 	EXP 	Created LeftFrame = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='LeftFrame', opacity=1.0, ori=0.0, pos=array([-0.5, -0.5]), size=array([0.38, 0.78]), texRes=128, units='norm', win=Window(...))
2010.7433 	EXP 	Created LeftImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='LeftImage', opacity=1.0, ori=0.0, pos=array([-0.5, -0.5]), size=array([0.35, 0.75]), texRes=128, units='norm', win=Window(...))
2010.7456 	EXP 	Created RightFrame = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-5.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='RightFrame', opacity=1.0, ori=0.0, pos=array([ 0.5, -0.5]), size=array([0.38, 0.78]), texRes=128, units='norm', win=Window(...))
2010.7473 	EXP 	Created RightImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='RightImage', opacity=1.0, ori=0.0, pos=array([ 0.5, -0.5]), size=array([0.35, 0.75]), texRes=128, units='norm', win=Window(...))
2010.7574 	EXP 	Created TrialFixationEnd = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-9.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='TrialFixationEnd', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.85, 1.  ]), texRes=128, units='norm', win=Window(...))
2010.7655 	EXP 	Created EndingFixationCross = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image=str(...), interpolate=True, mask=None, maskParams=None, name='EndingFixationCross', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.85, 1.  ]), texRes=128, units='norm', win=Window(...))
2010.7712 	WARNING 	t of last frame was 498.30ms (=1/2)
2010.7712 	EXP 	PleaseWaitText: autoDraw = True
2022.6252 	DATA 	Keypress: 5
2022.6428 	EXP 	PleaseWaitText: autoDraw = False
2022.6428 	EXP 	BeginningFixationCross: autoDraw = True
2023.9224 	DATA 	Keypress: 5
2025.2204 	DATA 	Keypress: 5
2026.5269 	DATA 	Keypress: 5
2027.8289 	DATA 	Keypress: 5
2029.1225 	DATA 	Keypress: 5
2030.4198 	DATA 	Keypress: 5
2031.7223 	DATA 	Keypress: 5
2033.0197 	DATA 	Keypress: 5
2034.3226 	DATA 	Keypress: 5
2035.6302 	DATA 	Keypress: 5
2036.9211 	DATA 	Keypress: 5
2037.6707 	DEBUG 	Read csv file with pandas: ..\HaririTask\HaririTrials_Ver2.csv
2037.6784 	DEBUG 	Clearing unnamed columns from ..\HaririTask\HaririTrials_Ver2.csv
2037.6837 	EXP 	Imported ..\HaririTask\HaririTrials_Ver2.csv as conditions, 110 conditions, 11 params
2037.6843 	EXP 	Created sequence: sequential, trialTypes=110, nReps=1, seed=None
2037.6845 	EXP 	New trial (rep=0, index=0): OrderedDict([('TrialType', 'MatchFaces'), ('Top', 'stimuli/MatchFaces.bmp'), ('Left', 'stimuli/EmptyFace.bmp'), ('Right', 'stimuli/EmptyFace.bmp'), ('EmptyFrame', 'stimuli/EmptyFrame.bmp'), ('SelectedFrame', 'stimuli/EmptyFrame.bmp'), ('Correct', 'Null'), ('Emotion', None), ('Gender', None), ('TrialLength', 3), ('FixationLength', 1)])
2038.1212 	WARNING 	t of last frame was 486.37ms (=1/2)
2038.1212 	EXP 	BeginningFixationCross: autoDraw = False
2038.1212 	EXP 	TopImage: image = 'stimuli/MatchFaces.bmp'
2038.1212 	EXP 	LeftFrame: image = 'stimuli/EmptyFrame.bmp'
2038.1212 	EXP 	LeftImage: image = 'stimuli/EmptyFace.bmp'
2038.1212 	EXP 	RightFrame: image = 'stimuli/EmptyFrame.bmp'
2038.1212 	EXP 	RightImage: image = 'stimuli/EmptyFace.bmp'
2038.1212 	EXP 	TopImage: autoDraw = True
2038.1212 	EXP 	LeftFrame: autoDraw = True
2038.1212 	EXP 	LeftImage: autoDraw = True
2038.1212 	EXP 	RightFrame: autoDraw = True
2038.1212 	EXP 	RightImage: autoDraw = True
2038.2223 	DATA 	Keypress: 5
2039.5268 	DATA 	Keypress: 5
2040.7141 	EXP 	TopImage: autoDraw = False
2040.7141 	EXP 	LeftFrame: autoDraw = False
2040.7141 	EXP 	LeftImage: autoDraw = False
2040.7141 	EXP 	RightFrame: autoDraw = False
2040.7141 	EXP 	RightImage: autoDraw = False
2040.7141 	EXP 	TrialFixationEnd: autoDraw = True
2040.8235 	DATA 	Keypress: 5
2041.6960 	EXP 	New trial (rep=0, index=1): OrderedDict([('TrialType', 'Fear'), ('Top', 'stimuli/23M_FE_O.BMP'), ('Left', 'stimuli/23M_FE_O.BMP'), ('Right', 'stimuli/24M_FE_O.BMP'), ('EmptyFrame', 'stimuli/EmptyFrame.bmp'), ('SelectedFrame', 'stimuli/RedFrame.bmp'), ('Correct', '1'), ('Emotion', 'Fear'), ('Gender', 'Male'), ('TrialLength', 3), ('FixationLength', 1)])
2042.1168 	WARNING 	t of last frame was 421.93ms (=1/2)
2042.1168 	EXP 	TrialFixationEnd: autoDraw = False
2042.1168 	EXP 	TopImage: autoDraw = False
2042.1168 	EXP 	LeftFrame: autoDraw = False
2042.1168 	EXP 	LeftImage: autoDraw = False
2042.1168 	EXP 	RightFrame: autoDraw = False
2042.1168 	EXP 	RightImage: autoDraw = False
2042.1168 	EXP 	TrialFixationEnd: autoDraw = False
2042.1168 	EXP 	TopImage: image = 'stimuli/23M_FE_O.BMP'
2042.1168 	EXP 	LeftFrame: image = 'stimuli/EmptyFrame.bmp'
2042.1168 	EXP 	LeftImage: image = 'stimuli/23M_FE_O.BMP'
2042.1168 	EXP 	RightFrame: image = 'stimuli/EmptyFrame.bmp'
2042.1168 	EXP 	RightImage: image = 'stimuli/24M_FE_O.BMP'
2042.1168 	EXP 	TopImage: autoDraw = True
2042.1168 	EXP 	LeftFrame: autoDraw = True
2042.1168 	EXP 	LeftImage: autoDraw = True
2042.1168 	EXP 	RightFrame: autoDraw = True
2042.1168 	EXP 	RightImage: autoDraw = True
2042.1342 	DATA 	Keypress: 5
2043.0750 	DATA 	Keypress: 1
2043.1039 	WARNING 	t of last frame was 31.78ms (=1/31)
2043.1039 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.1039 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.1205 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.1205 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.1367 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.1367 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.1544 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.1544 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.1742 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.1742 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.1895 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.1895 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.2072 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.2072 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.2250 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.2250 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.2393 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.2393 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.2565 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.2565 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.2751 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.2751 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.2920 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.2920 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.3087 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.3087 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.3232 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.3232 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.3413 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.3413 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.3579 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.3579 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.3698 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.3698 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.3827 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.3827 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.3998 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.3998 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.4153 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.4153 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.4278 	DATA 	Keypress: 5
2043.4318 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.4318 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.4491 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.4491 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.4637 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.4637 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.4812 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.4812 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
2043.4951 	EXP 	LeftFrame: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/RedFrame.bmp'
2043.4951 	EXP 	LeftImage: image = 'C:\\Users\\local.BME\\Desktop\\HaririTask\\stimuli/23M_FE_O.BMP'
