% Model,Multi-Channel SFAT (Free-Field).mph
% Version,COMSOL 6.0.0.405
% Date,"Jul 10 2024, 15:12"
% Dimension,2
% Nodes,493
% Expressions,0
% Description,
% Length unit,m
% r,z
0,-0.0022596978055726847
0,-0.0020638341701284804
0,-0.0025
0,-0.0019117560607590494
0,-0.0017952900757822934
0,-0.001706241927597503
0,-0.0016381363967426536
0,-0.0015860000000000214
0,-0.0015500000000000197
0,-0.0014952873484639253
0,-0.0014228987231772498
0,-0.0013270669943558561
0,-0.0012001660643551912
0,-0.0010320978172757983
0,-8.101238350364222E-4
0,-5.48078581119317E-4
0,-2.7403929055965816E-4
0,0
0,0.001033333333333347
0,0.0012916666666666836
0,0.0015500000000000197
0,7.750000000000105E-4
0,5.166666666666735E-4
0,2.58333333333337E-4
0,0.0017875000000000256
0,0.002025000000000015
0,0.0022625000000000054
0,0.0024999999999999957
0,0.00281757313468959
0,0.0031946192037978524
0,0.0036266291145728787
0,0.00408129455144737
0,0.0045359709135855426
0,0.004990647275723712
0,0.0054453236378618815
0,0.005900000000000051
0,0.006355555555555604
0,0.006811111111111158
0,0.0072666666666667094
0,0.007722222222222262
0,0.008177777777777815
0,0.008633333333333368
0,0.009088888888888922
0,0.009544444444444477
0,0.010000000000000028
0,0.010455555555555582
0,0.010911111111111135
0,0.011366666666666686
0,0.01182222222222224
0,0.012277777777777792
0,0.012733333333333346
0,0.013188888888888898
0,0.01364444444444445
0,0.0141
0,0.014554477611940281
0,0.015008955223880576
0,0.015463432835820875
0,0.01591791044776117
0,0.016372388059701464
0,0.016826865671641763
0,0.017281343283582055
0,0.01773582089552235
0,0.018190298507462645
0,0.01864477611940294
0,0.019099253731343236
0,0.01955373134328353
0,0.020008208955223827
0,0.020462686567164122
0,0.020917164179104414
0,0.021371641791044713
0,0.021826119402985008
0,0.0222805970149253
0,0.022735074626865595
0,0.023189552238805887
0,0.02364402985074619
0,0.02409850746268648
0,0.024552985074626773
0,0.025007462686567068
0,0.025461940298507367
0,0.025916417910447662
0,0.026370895522387954
0,0.026825373134328253
0,0.02727985074626855
0,0.02773432835820884
0,0.028188805970149132
0,0.02864328358208943
0,0.029097761194029733
0,0.029552238805970018
0,0.03000671641791031
0,0.03046119402985061
0,0.030915671641790907
